"Kod","Nazwa","Okresy","Rok","Jednostka.miary","Atrybut","X","ziarno zbóż (bez siewnego) - jęczmień za 1dt","ziarno zbóż (bez siewnego) - pszenżyto za 1dt","ziarno zbóż (bez siewnego) - owies za 1dt","ziarno zbóż (bez siewnego) - kukurydza za 1dt","żywiec rzeźny - bydło (bez cieląt) za 1 kg wagi żywej","mleko krowie za 1 hl"
0,"POLSKA","styczeń",2018,"zł","",NA,67.59,62.06,52.01,59.65,6.58,142.12
0,"POLSKA","styczeń",2019,"zł","",NA,81.77,77.33,71.83,74.55,6.6,140.77
0,"POLSKA","styczeń",2020,"zł","",NA,71.08,64.71,62.23,64.67,6.43,137.19
0,"POLSKA","styczeń",2021,"zł","",NA,71.71,73.19,56.55,74.66,6.51,149.35
0,"POLSKA","styczeń",2022,"zł","",NA,110.4,112.88,92.81,100.32,9.59,182.96
0,"POLSKA","styczeń",2023,"zł","",NA,125.78,121.6,126.18,132.01,10.9,245.53
0,"POLSKA","styczeń",2024,"zł","",NA,78.05,71.53,104.78,77.83,10.09,207.09
0,"POLSKA","luty",2018,"zł","",NA,67.33,61.37,52.29,60.46,6.47,135.24
0,"POLSKA","luty",2019,"zł","",NA,83.16,77.9,73.71,73.18,6.39,138.13
0,"POLSKA","luty",2020,"zł","",NA,67.55,61.67,60.99,67.1,6.49,137.38
0,"POLSKA","luty",2021,"zł","",NA,75.92,76.75,63.9,81.07,7.02,149.17
0,"POLSKA","luty",2022,"zł","",NA,111.63,112.8,96.38,110.23,9.76,184.21
0,"POLSKA","luty",2023,"zł","",NA,115.44,116,120.7,123.7,10.94,227.4
0,"POLSKA","luty",2024,"zł","",NA,78.12,70.44,99.95,74.83,10.03,205.38
0,"POLSKA","marzec",2018,"zł","",NA,67.08,61.86,51.87,61.81,6.34,134.2
0,"POLSKA","marzec",2019,"zł","",NA,77.33,71.66,73.09,73.67,6.53,137.82
0,"POLSKA","marzec",2020,"zł","",NA,67.01,62.38,62.31,68.1,6.25,136.86
0,"POLSKA","marzec",2021,"zł","",NA,80.35,80.92,62.88,85.7,6.87,151.53
0,"POLSKA","marzec",2022,"zł","",NA,122.83,131.84,104.88,125.63,10.68,196.48
0,"POLSKA","marzec",2023,"zł","",NA,105.83,112.54,107.83,112.2,10.81,222.54
0,"POLSKA","marzec",2024,"zł","",NA,74.14,72.01,96.17,68.28,10.08,205.04
0,"POLSKA","kwiecień",2018,"zł","",NA,67.35,62.37,51.85,62.35,6.58,132.17
